"volume","sizeindex","species","xleft","ybottom","xright","ytop"
"100",217.0466,"angophora_costata",102,0,150,600
"100",197.96705,"lophostemon_confertus",102,0,150,600
"100",75.338505,"olea_europaea_tolleysupright",102,0,150,600
"100",140.92895,"corymbia_citriodora",102,0,150,600
"100",62.555365,"eucalyptus_sideroxylon",102,0,150,600
"100",270.09576,"adansonia_gregorii",102,0,150,600
"100",133.29595,"acer_freemanii_autumnblaze",102,0,150,600
"100",212.80204,"banksia_integrifolia",102,0,150,600
"100",55.998,"gleditsia_triacanthos_sunburst",102,0,150,600
"100",111.78125,"acer_freemanii_autumnblaze",102,0,150,600
"100",156.19875,"eucalyptus_sideroxylon_rosea",102,0,150,600
"100",238.58247,"eucalyptus_saligna",102,0,150,600
"100",127.58823,"adansonia_gregorii",102,0,150,600
"100",144.642325,"araucaria_heterophylla",102,0,150,600
"100",73.23225,"olea_europaea",102,0,150,600
"100",74.26996,"melaleuca_quinquenervia",102,0,150,600
"100",164.87772,"corymbia_maculata",102,0,150,600
"100",72.92632,"melia_azedarach_caroline",102,0,150,600
"100",112.3472,"acer_freemanii",102,0,150,600
"100",118.70704,"acer_freemanii_autumnblaze",102,0,150,600
"100",295.44504,"eucalyptus_pilularis",102,0,150,600
"100",54.95805,"magnolia_grandiflora_littlegem",102,0,150,600
"100",149.290545,"eucalyptus_saligna",102,0,150,600
"100",116.72628,"acer_freemanii_autumnblaze",102,0,150,600
"100",195.792,"lophostemon_confertus",102,0,150,600
"100",196.9245,"angophora_costata",102,0,150,600
"100",108.895995,"fraxinus_pennsylvanica_cimmaron",102,0,150,600
"100",69.51892,"elaeocarpus_eumundii",102,0,150,600
"100",48.85447,"gleditsia_triacanthos_sunburst",102,0,150,600
"100",123.8342,"allosyncarpia_ternata",102,0,150,600
"100",154.62017,"jacaranda_mimosifolia",102,0,150,600
"100",178.43155,"lophostemon_confertus",102,0,150,600
"100",80.29761,"magnolia_grandiflora_littlegem",102,0,150,600
"100",108.1685,"acer_freemanii_autumnblaze",102,0,150,600
"100",69.04625,"eucalyptus_leucoxylon_rosea",102,0,150,600
"100",178.91104,"angophora_costata",102,0,150,600
"100",120.787,"delonix_regia",102,0,150,600
"100",173.874547158692,"acer_rubrum_octoberglory",102,0,150,600
"100",84.48728,"melaleuca_quinquenervia",102,0,150,600
"100",146.38608,"acer_freemanii_autumnblaze",102,0,150,600
"100",119.0646,"magnolia_grandiflora_littlegem",102,0,150,600
"100",174.30798,"corymbia_maculata",102,0,150,600
"100",91.271995,"magnolia_grandiflora_littlegem",102,0,150,600
"100",92.7894,"melaleuca_quinquenervia",102,0,150,600
"100",132.386354903383,"magnolia_grandiflora_littlegem",102,0,150,600
"100",151.932,"eucalyptus_leucoxylon_megalocarpa",102,0,150,600
"100",121.07508,"cupaniopsis_anacardioides",102,0,150,600
"100",82.31488,"peltophorum_pterocarpum",102,0,150,600
"100",92.80912,"delonix_regia",102,0,150,600
"100",129.7035,"acer_freemanii_autumnblaze",102,0,150,600
"100",148.306,"delonix_regia",102,0,150,600
"100",95.45354,"jacaranda_mimosifolia",102,0,150,600
"100",104.92466,"melaleuca_quinquenervia",102,0,150,600
"100",68.12064,"magnolia_grandiflora_littlegem",102,0,150,600
"100",258.120075,"angophora_costata",102,0,150,600
"100",89.92014,"liquidambar_styraciflua",102,0,150,600
"100",133.3013,"elaeocarpus_reticulatus",102,0,150,600
"100",118.0476,"pyrus_calleryana_chanticleer",102,0,150,600
"100",99.44606,"lagerstroemia_indica_sioux",102,0,150,600
"100",148.76275,"waterhousea_floribunda",102,0,150,600
"100",100.7605,"koelreuteria_paniculata",102,0,150,600
"100",43.58357,"gleditsia_triacanthos_sunburst",102,0,150,600
"100",238.51136,"angophora_costata",102,0,150,600
"100",101.36544,"fraxinus_griffithii",102,0,150,600
"100",98.8307633216604,"lagerstroemia_indica_sioux",102,0,150,600
"100",83.84328,"angophora_costata",102,0,150,600
"100",106.46419,"corymbia_maculata",102,0,150,600
"100",102.0537,"elaeocarpus_reticulatus_primadonna",102,0,150,600
"100",60.27944,"callistemon_kingsparkspecial",102,0,150,600
"100",116.621465,"allosyncarpia_ternata",102,0,150,600
"100",96.6179,"lophostemon_confertus",102,0,150,600
"100",250.2237,"araucaria_heterophylla",102,0,150,600
"100",64.163095,"lophostemon_confertus",102,0,150,600
"100",114.68205,"angophora_costata",102,0,150,600
"100",217.9891,"araucaria_heterophylla",102,0,150,600
"100",222.46328,"corymbia_maculata",102,0,150,600
