"nursery","species","genus_species","volume","climate_region","origin","leaf_type","calliper300.mean","rcd.mean","height_m.mean","sizeindex.mean","calliper300.se","rcd.se","height_m.se","sizeindex.se","longitude","latitude","tmean_1","tmean_2","tmean_3","tmean_4","tmean_5","tmean_6","tmean_7","tmean_8","tmean_9","tmean_10","tmean_11","tmean_12","prec_1","prec_2","prec_3","prec_4","prec_5","prec_6","prec_7","prec_8","prec_9","prec_10","prec_11","prec_12","MAT","MAP"
"alpine","ulmus_parvifolia","ulmus_parvifolia",800,"New South Wales","non-native","deciduous",74.142,99.322,3.8336,284.545374,2.51880209623543,6.12254759066845,0.105949327510844,14.4046873331778,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","tristaniopsis_laurina_luscious","tristaniopsis_laurina",75,"New South Wales","native","evergreen",33.602,49.9995,2.33315,78.4731435,0.881848417574669,0.78056566027465,0.0330039291919199,2.48317254953841,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_sideroxylon_rosea","eucalyptus_sideroxylon",25,"New South Wales","native","evergreen",9.0778947368421,16.6363157894737,1.06815789473684,9.7404697368421,0.221983455138409,0.682738277719466,0.0238514240208828,0.385896286339472,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","corymbia_maculata","corymbia_maculata",45,"New South Wales","native","evergreen",17.1227272727273,26.6940909090909,1.845,32.0046963636364,0.971434123447569,0.638516682412455,0.0837508208914993,2.9858038938731,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","brachychiton_acerifolius","brachychiton_acerifolius",200,"New South Wales","native","deciduous",100.476666666667,113.771666666667,3.82133333333333,384.3478,3.74317638436188,3.701187121872,0.221294926386586,29.9250054608095,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","lophostemon_confertus","lophostemon_confertus",800,"New South Wales","native","evergreen",99.2183333333333,123.857,5.56313333333333,552.827665333333,2.20779876728505,2.61122297565172,0.0851900881036703,17.0196806685161,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","corymbia_maculata","corymbia_maculata",400,"New South Wales","native","evergreen",91.1544444444445,110.102222222222,4.87744444444444,445.832035555556,3.027211593342,3.57866615739012,0.103830806698942,21.3370290432083,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","olea_europaea","olea_europaea",35,"New South Wales","non-native","evergreen",21.4808333333333,27.4183333333333,2.28972222222222,49.169215,0.459673841815774,0.352614186762079,0.0448001229541056,1.37978266304908,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_saligna","eucalyptus_saligna",800,"New South Wales","native","evergreen",102.86875,122.70375,5.826375,598.767019375,2.45113726337971,3.32922043508043,0.143978537277014,18.1200601953666,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","magnolia_grandiflora_exmouth","magnolia_grandiflora",45,"New South Wales","non-native","evergreen",26.8797368421053,35.1555263157895,1.79189473684211,48.4507002631579,1.12147801349342,1.60885619601767,0.0346133948598548,2.60170298444678,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
